,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,65,0,0,0,0,2,0,4,0,0,1,4,1,0,0,2,3,1,0,0,0,0,3,0,4,0,0,6,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,0,53,18,3,2,0,0,0,3,0,0,8,0,0,0,0,0,0,1,1,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
2,0,13,62,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,6,3,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,2,2,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,1,0,2,0,0,8,0,2,2,0,0,0,0,0,0,0,0,0,0,5
4,0,1,14,5,52,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,3,1,0,0,0,0,0,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,0,0,0,0,0,58,0,4,0,5,0,0,5,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0
6,1,0,1,0,0,1,61,0,0,1,0,13,1,0,1,1,2,0,0,3,1,4,0,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,2,0,21,0,5,0,0,0,0,0,3,0,4,0,0,0,7,7,1,0,0,5,1,0,0,35,1,2,0,0,0,0,0,0,0,1,0,3,0,1,1
8,0,3,0,0,8,1,0,2,31,3,1,0,2,1,1,0,0,2,0,0,12,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,28,0,0,0
9,0,0,4,0,1,3,0,4,0,39,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,4,4,0,0,26,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0
10,0,0,0,0,0,1,1,8,1,2,40,0,0,4,10,0,1,0,0,0,6,0,5,6,0,1,1,5,1,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1
11,0,0,0,0,0,0,6,0,1,0,19,43,0,0,5,0,3,0,0,0,3,6,1,0,0,0,1,0,1,1,1,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,5,0,3,0,1,0,0,40,7,0,5,1,2,1,0,0,1,0,13,3,0,0,1,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,4,0,5,1,0,9,0,6,49,0,3,0,1,0,0,0,0,0,8,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3
14,0,0,1,0,3,0,0,2,13,4,12,5,1,0,33,0,2,1,0,0,10,2,0,3,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,7,0,0,0,0,1,0,2,1,0,6,8,4,3,1,23,3,2,0,1,0,2,5,0,3,0,13,1,0,9,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
16,0,0,0,0,0,0,1,1,5,3,9,13,4,1,1,0,28,3,0,0,1,5,7,2,2,1,2,2,2,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,1,0,8,4,0,0,0,12,0,0,4,0,19,0,0,1,10,3,12,1,1,2,0,0,4,14,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
18,0,1,0,0,1,0,10,2,2,0,1,0,7,0,10,1,3,4,32,0,0,1,1,2,3,0,1,0,3,2,1,0,3,0,0,0,0,0,8,1,0,0,0,0,0,0
